Namespace(activation_fn='gelu', base_channel=32, base_sigma=0.0, batch={8: 256, 16: 256, 32: 128, 64: 128, 128: 64, 256: 32}, batch_default=128, bn=False, ckpt=None, conditional=True, cyclic=False, data_root='./data/', dataset='cifar10', device=0, eval_step=50, from_beginning=False, from_rgb_activate=False, init_size=8, initial='uniform', l2_coefficient=0.0, langevin_lr=2.0, langevin_step=50, load=False, lr={8: 0.001, 16: 0.0012, 32: 0.0015, 64: 0.0015, 128: 0.0015}, lr_default=0.0005, max_size=32, mode='train', name_suffix='step', noise_ratio=1.0, phase=1000000, pro=True, projection=True, res=True, run_dir='results/cifar10_step/00000-step50-trunc1.0-res32-lr2.0-uniform-ch32', save_path='results', sched=True, soft=True, spectral=True, split_bn=False, stats_path='./stats/cifar10.npz', truncation=1.0, val_clip=1.1)
Itr:   9900 Kimg:     2534, Alpha: 0.53, Res:  16, f(x_p_d)=  0.5137 f(x_q)=  0.4915
Itr:  10000 Kimg:     2560, Alpha: 0.56, Res:  16, f(x_p_d)=  0.4808 f(x_q)=  0.4358
Itr:  10100 Kimg:     2585, Alpha: 0.59, Res:  16, f(x_p_d)=  0.4560 f(x_q)=  0.3825
Itr:  10200 Kimg:     2611, Alpha: 0.61, Res:  16, f(x_p_d)=  0.4921 f(x_q)=  0.5271
Itr:  10300 Kimg:     2637, Alpha: 0.64, Res:  16, f(x_p_d)=  0.6198 f(x_q)=  0.5782
Itr:  10400 Kimg:     2662, Alpha: 0.66, Res:  16, f(x_p_d)=  0.5959 f(x_q)=  0.4481
Itr:  10500 Kimg:     2688, Alpha: 0.69, Res:  16, f(x_p_d)=  0.7498 f(x_q)=  0.5807
Itr:  10600 Kimg:     2713, Alpha: 0.71, Res:  16, f(x_p_d)=  0.7742 f(x_q)=  0.8535
Itr:  10700 Kimg:     2739, Alpha: 0.74, Res:  16, f(x_p_d)=  0.5775 f(x_q)=  0.6009
Itr:  10800 Kimg:     2765, Alpha: 0.76, Res:  16, f(x_p_d)=  0.6460 f(x_q)=  0.4377
Itr:  10900 Kimg:     2790, Alpha: 0.79, Res:  16, f(x_p_d)=  0.8540 f(x_q)=  0.7528
Itr:  11000 Kimg:     2816, Alpha: 0.82, Res:  16, f(x_p_d)=  0.5335 f(x_q)=  0.2439
Itr:  11100 Kimg:     2841, Alpha: 0.84, Res:  16, f(x_p_d)=  0.8959 f(x_q)=  0.7222
Itr:  11200 Kimg:     2867, Alpha: 0.87, Res:  16, f(x_p_d)=  0.8681 f(x_q)=  0.9116
Itr:  11300 Kimg:     2893, Alpha: 0.89, Res:  16, f(x_p_d)=  0.7986 f(x_q)=  0.6638
Itr:  11400 Kimg:     2918, Alpha: 0.92, Res:  16, f(x_p_d)=  1.0287 f(x_q)=  0.8294
Itr:  11500 Kimg:     2944, Alpha: 0.94, Res:  16, f(x_p_d)=  0.9685 f(x_q)=  0.6733
Itr:  11600 Kimg:     2969, Alpha: 0.97, Res:  16, f(x_p_d)=  1.2552 f(x_q)=  1.3194
Itr:  11700 Kimg:     2995, Alpha: 1.00, Res:  16, f(x_p_d)=  1.3188 f(x_q)=  1.4503
Itr:  11800 Kimg:     3021, Alpha: 1.00, Res:  16, f(x_p_d)=  1.4097 f(x_q)=  1.3528
Itr:  11900 Kimg:     3046, Alpha: 1.00, Res:  16, f(x_p_d)=  1.5109 f(x_q)=  1.7161
Itr:  12000 Kimg:     3072, Alpha: 1.00, Res:  16, f(x_p_d)=  1.3756 f(x_q)=  1.2478
Calculate FID...
Itr:  12000, FID:    97.938
Itr:  12100 Kimg:     3097, Alpha: 1.00, Res:  16, f(x_p_d)=  1.6063 f(x_q)=  2.0075
Itr:  12200 Kimg:     3123, Alpha: 1.00, Res:  16, f(x_p_d)=  1.1989 f(x_q)=  0.9037
Itr:  12300 Kimg:     3149, Alpha: 1.00, Res:  16, f(x_p_d)=  1.4929 f(x_q)=  1.4610
Itr:  12400 Kimg:     3174, Alpha: 1.00, Res:  16, f(x_p_d)=  1.4451 f(x_q)=  1.4440
Itr:  12500 Kimg:     3200, Alpha: 1.00, Res:  16, f(x_p_d)=  1.6264 f(x_q)=  1.7358
Itr:  12600 Kimg:     3225, Alpha: 1.00, Res:  16, f(x_p_d)=  1.5616 f(x_q)=  1.2417
Itr:  12700 Kimg:     3251, Alpha: 1.00, Res:  16, f(x_p_d)=  1.4441 f(x_q)=  1.2105
Itr:  12800 Kimg:     3277, Alpha: 1.00, Res:  16, f(x_p_d)=  1.6319 f(x_q)=  1.5483
Itr:  12900 Kimg:     3302, Alpha: 1.00, Res:  16, f(x_p_d)=  1.7672 f(x_q)=  1.5374
Itr:  13000 Kimg:     3328, Alpha: 1.00, Res:  16, f(x_p_d)=  1.4755 f(x_q)=  2.0199
Itr:  13100 Kimg:     3353, Alpha: 1.00, Res:  16, f(x_p_d)=  1.5585 f(x_q)=  1.3971
Itr:  13200 Kimg:     3379, Alpha: 1.00, Res:  16, f(x_p_d)=  1.6198 f(x_q)=  1.5351
Itr:  13300 Kimg:     3405, Alpha: 1.00, Res:  16, f(x_p_d)=  1.6081 f(x_q)=  1.9564
Itr:  13400 Kimg:     3430, Alpha: 1.00, Res:  16, f(x_p_d)=  1.4766 f(x_q)=  1.2454
Itr:  13500 Kimg:     3456, Alpha: 1.00, Res:  16, f(x_p_d)=  1.5373 f(x_q)=  1.9375
Itr:  13600 Kimg:     3481, Alpha: 1.00, Res:  16, f(x_p_d)=  1.6699 f(x_q)=  2.0243
Itr:  13700 Kimg:     3507, Alpha: 1.00, Res:  16, f(x_p_d)=  1.4369 f(x_q)=  1.3325
Itr:  13800 Kimg:     3533, Alpha: 1.00, Res:  16, f(x_p_d)=  1.5469 f(x_q)=  1.4495
Itr:  13900 Kimg:     3558, Alpha: 1.00, Res:  16, f(x_p_d)=  1.5681 f(x_q)=  1.6401
Itr:  14000 Kimg:     3584, Alpha: 1.00, Res:  16, f(x_p_d)=  1.5161 f(x_q)=  1.4864
Calculate FID...
Itr:  14000, FID:    88.867
Itr:  14100 Kimg:     3609, Alpha: 1.00, Res:  16, f(x_p_d)=  1.4604 f(x_q)=  1.3361
Itr:  14200 Kimg:     3635, Alpha: 1.00, Res:  16, f(x_p_d)=  1.4469 f(x_q)=  1.6674
Itr:  14300 Kimg:     3661, Alpha: 1.00, Res:  16, f(x_p_d)=  1.8895 f(x_q)=  2.7946
Itr:  14400 Kimg:     3686, Alpha: 1.00, Res:  16, f(x_p_d)=  1.4554 f(x_q)=  1.3656
Itr:  14500 Kimg:     3712, Alpha: 1.00, Res:  16, f(x_p_d)=  1.3740 f(x_q)=  1.4055
Itr:  14600 Kimg:     3737, Alpha: 1.00, Res:  16, f(x_p_d)=  1.6620 f(x_q)=  1.5534
Itr:  14700 Kimg:     3763, Alpha: 1.00, Res:  16, f(x_p_d)=  1.5998 f(x_q)=  1.6580
Itr:  14800 Kimg:     3789, Alpha: 1.00, Res:  16, f(x_p_d)=  1.7733 f(x_q)=  2.0221
Itr:  14900 Kimg:     3814, Alpha: 1.00, Res:  16, f(x_p_d)=  1.4164 f(x_q)=  1.5557
Itr:  15000 Kimg:     3840, Alpha: 1.00, Res:  16, f(x_p_d)=  1.7155 f(x_q)=  2.2870
Itr:  15100 Kimg:     3865, Alpha: 1.00, Res:  16, f(x_p_d)=  1.6722 f(x_q)=  1.4572
Itr:  15200 Kimg:     3891, Alpha: 1.00, Res:  16, f(x_p_d)=  1.5681 f(x_q)=  1.9990
Itr:  15300 Kimg:     3917, Alpha: 1.00, Res:  16, f(x_p_d)=  1.7691 f(x_q)=  1.7069
Itr:  15400 Kimg:     3942, Alpha: 1.00, Res:  16, f(x_p_d)=  1.5728 f(x_q)=  1.7425
Itr:  15500 Kimg:     3968, Alpha: 1.00, Res:  16, f(x_p_d)=  1.4488 f(x_q)=  1.1106
Itr:  15600 Kimg:     3993, Alpha: 1.00, Res:  16, f(x_p_d)=  1.5580 f(x_q)=  1.2458
Itr:  15700 Kimg:     4009, Alpha: 0.01, Res:  32, f(x_p_d)=  1.3221 f(x_q)=  0.9157
Itr:  15800 Kimg:     4022, Alpha: 0.02, Res:  32, f(x_p_d)=  1.2469 f(x_q)=  1.2074
Itr:  15900 Kimg:     4035, Alpha: 0.04, Res:  32, f(x_p_d)=  1.3998 f(x_q)=  1.3316
Itr:  16000 Kimg:     4048, Alpha: 0.05, Res:  32, f(x_p_d)=  1.1882 f(x_q)=  1.1431
Itr:  16100 Kimg:     4061, Alpha: 0.06, Res:  32, f(x_p_d)=  1.1831 f(x_q)=  1.0678
Itr:  16200 Kimg:     4073, Alpha: 0.07, Res:  32, f(x_p_d)=  1.4906 f(x_q)=  1.6316
Itr:  16300 Kimg:     4086, Alpha: 0.09, Res:  32, f(x_p_d)=  1.0931 f(x_q)=  0.8772
Itr:  16400 Kimg:     4099, Alpha: 0.10, Res:  32, f(x_p_d)=  1.1536 f(x_q)=  1.8090
Itr:  16500 Kimg:     4112, Alpha: 0.11, Res:  32, f(x_p_d)=  1.3146 f(x_q)=  1.5634
Itr:  16600 Kimg:     4125, Alpha: 0.12, Res:  32, f(x_p_d)=  1.2463 f(x_q)=  1.2311
Itr:  16700 Kimg:     4137, Alpha: 0.14, Res:  32, f(x_p_d)=  1.3091 f(x_q)=  1.6660
Itr:  16800 Kimg:     4150, Alpha: 0.15, Res:  32, f(x_p_d)=  1.2420 f(x_q)=  1.0664
Itr:  16900 Kimg:     4163, Alpha: 0.16, Res:  32, f(x_p_d)=  1.2904 f(x_q)=  1.3461
Itr:  17000 Kimg:     4176, Alpha: 0.18, Res:  32, f(x_p_d)=  1.2230 f(x_q)=  1.2728
Itr:  17100 Kimg:     4189, Alpha: 0.19, Res:  32, f(x_p_d)=  1.0900 f(x_q)=  0.9366
Itr:  17200 Kimg:     4201, Alpha: 0.20, Res:  32, f(x_p_d)=  1.3765 f(x_q)=  1.4891
Itr:  17300 Kimg:     4214, Alpha: 0.21, Res:  32, f(x_p_d)=  1.4223 f(x_q)=  0.9564
Itr:  17400 Kimg:     4227, Alpha: 0.23, Res:  32, f(x_p_d)=  1.0681 f(x_q)=  1.1939
Itr:  17500 Kimg:     4240, Alpha: 0.24, Res:  32, f(x_p_d)=  1.3974 f(x_q)=  1.1912
Itr:  17600 Kimg:     4253, Alpha: 0.25, Res:  32, f(x_p_d)=  1.7198 f(x_q)=  1.7897
Itr:  17700 Kimg:     4265, Alpha: 0.27, Res:  32, f(x_p_d)=  1.1303 f(x_q)=  1.6641
Itr:  17800 Kimg:     4278, Alpha: 0.28, Res:  32, f(x_p_d)=  1.3273 f(x_q)=  1.4725
Itr:  17900 Kimg:     4291, Alpha: 0.29, Res:  32, f(x_p_d)=  1.3596 f(x_q)=  1.4067
Itr:  18000 Kimg:     4304, Alpha: 0.30, Res:  32, f(x_p_d)=  1.2654 f(x_q)=  1.4747
Itr:  18100 Kimg:     4317, Alpha: 0.32, Res:  32, f(x_p_d)=  1.6126 f(x_q)=  1.9963
Itr:  18200 Kimg:     4329, Alpha: 0.33, Res:  32, f(x_p_d)=  1.4056 f(x_q)=  1.3660
Itr:  18300 Kimg:     4342, Alpha: 0.34, Res:  32, f(x_p_d)=  1.4229 f(x_q)=  1.2273
Itr:  18400 Kimg:     4355, Alpha: 0.36, Res:  32, f(x_p_d)=  1.4529 f(x_q)=  1.6649
Itr:  18500 Kimg:     4368, Alpha: 0.37, Res:  32, f(x_p_d)=  1.4258 f(x_q)=  1.3250
Itr:  18600 Kimg:     4381, Alpha: 0.38, Res:  32, f(x_p_d)=  1.5437 f(x_q)=  1.9062
Itr:  18700 Kimg:     4393, Alpha: 0.39, Res:  32, f(x_p_d)=  1.4521 f(x_q)=  1.1170
Itr:  18800 Kimg:     4406, Alpha: 0.41, Res:  32, f(x_p_d)=  1.4669 f(x_q)=  1.2075
Itr:  18900 Kimg:     4419, Alpha: 0.42, Res:  32, f(x_p_d)=  1.3202 f(x_q)=  1.1357
Itr:  19000 Kimg:     4432, Alpha: 0.43, Res:  32, f(x_p_d)=  1.3514 f(x_q)=  1.1379
Itr:  19100 Kimg:     4445, Alpha: 0.44, Res:  32, f(x_p_d)=  1.4066 f(x_q)=  1.6008
Itr:  19200 Kimg:     4457, Alpha: 0.46, Res:  32, f(x_p_d)=  1.3554 f(x_q)=  1.2437
Itr:  19300 Kimg:     4470, Alpha: 0.47, Res:  32, f(x_p_d)=  1.8713 f(x_q)=  2.1471
